id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
557;1;13;4;2;2;2;2;1;3;241
558;1;14;4;2;2;2;2;1;1;617
559;1;12;4;2;2;2;2;1;1;335
560;1;5;4;2;2;1;2;1;3;188
561;1;14;4;2;2;2;2;1;3;573
562;1;12;4;2;4;3;4;1;1;332
563;1;1;4;9;1;2;1;1;1;129
564;1;3;4;2;2;2;2;1;2;242
565;1;1;4;2;3;2;3;1;4;135
566;1;5;4;2;2;2;2;1;1;210
567;1;2;4;2;3;2;3;1;7;86
568;1;13;4;2;3;2;3;1;7;211
569;1;8;4;2;2;2;2;1;1;50
570;1;14;4;2;1;2;1;2;3;161
571;1;14;4;2;2;2;2;1;3;289
572;1;1;4;2;3;2;3;1;3;191
573;1;2;4;2;2;2;2;1;1;378
574;1;5;4;2;2;2;2;1;1;330
575;1;5;4;2;2;1;2;1;1;256
576;1;13;4;2;2;2;2;1;1;288
577;1;3;4;2;3;2;3;1;1;243
578;1;13;4;2;1;2;1;1;1;395
579;1;2;4;2;2;2;2;1;3;170
580;1;5;4;2;3;1;3;1;1;206
581;1;1;4;2;1;2;1;1;1;104
582;1;8;3;1;1;3;1;2;4;97
583;1;1;4;9;3;3;3;2;4;92
584;1;1;3;1;2;2;2;2;3;153
585;1;1;3;1;1;1;1;1;1;65
586;1;7;4;2;1;1;1;3;3;171
587;1;14;4;2;2;2;2;2;4;173
588;1;4;4;10;2;2;2;1;2;139
589;1;11;4;2;3;2;3;1;3;493
590;1;10;4;1;4;2;4;1;3;220
591;1;5;4;2;1;2;1;3;3;430
592;1;8;3;1;1;3;1;3;3;156
593;1;4;4;2;3;2;3;1;3;165
594;1;4;4;2;1;2;1;2;3;139
595;1;7;3;1;3;3;3;2;3;138
596;1;8;4;2;3;2;3;1;4;192
597;1;1;4;2;2;2;2;2;6;232
598;1;10;4;2;4;2;1;3;3;194
598;2;10;4;2;4;2;1;2;3;194
599;1;5;4;2;3;2;3;1;5;190
600;1;3;4;2;3;2;3;1;3;211
